名称,英文名,分类,品质,耗电量,占地尺寸（x*y）,"物品输入口及朝向（x,y）","物品输出口及朝向（x,y）","管道输入口及朝向（x,y）","管道输出口及朝向（x,y）",备注/放置限制
储液罐,Fluid Tank,仓库存取,绿色,,3*3,,,"0,1L","2,1R",拥有1个能存放500单位液体的物品格，同时链接出入口
仓库存取线基段,Depot Bus Section,仓库存取,紫色,,4*8,,,,,有放置数量限制，可让用户自定义。必须与仓库存取线源桩相连才可以生效，或者与已经生效的其他仓库存取线基段相连也可以生效
库存取线源桩,Depot Bus Port,仓库存取,紫色,,4*4,,,,,有放置数量限制，可让用户自定义
暗管入口,Conduit Inlet,仓库存取,蓝色,,3*3,,,"0,1L",,必须与另一个暗管出口链接才能启用，拥有1个能存放500单位液体的物品格，链接入口
暗管出口,Conduit Outlet,仓库存取,蓝色,,3*3,,,,"2,1R",必须与另一个暗管入口链接才能启用，拥有1个能存放500单位液体的物品格，链接出口
多口暗管入口,Conduit Inlet Manifold,仓库存取,紫色,,3*5,,,"2,1R 2,3R",,必须与另一个多口暗管出口链接才能启用，拥有1个能存放500单位液体的物品格，同时链接两个入口
多口暗管出口,Conduit Outlet Manifold,仓库存取,紫色,,3*5,,,,"2,1R 2,3R",必须与另一个多口暗管入口链接才能启用，拥有1个能存放500单位液体的物品格，同时链接两个出口
精炼炉,Refining Unit,基础生产,灰色,5,3*3,"0,0U 1,0U 2,0U","0,2D 1,2D 2,2D","0,1L","2,1R",
粉碎机,Shredding Unit,基础生产,灰色,5,3*3,"0,0U 1,0U 2,0U","0,2D 1,2D 2,2D",,,
配件机,FittingUhit,基础生产,绿色,20,3*3,"0,0U 1,0U 2,0U","0,2D 1,2D 2,2D",,,
塑形机,Mouldling Unit,基础生产,绿色,10,3*3,"0,0U 1,0U 2,0U","0,2D 1,2D 2,2D",,,
种植机,Planting Unit,基础生产,蓝色,20,5*5,"0,0U 1,0U 2,0U 3,0U 4,0U","0,4D 1,4D 2,4D 3,4D 4,4D","0,2L",,
采种机,Seed-Picking Unit,基础生产,蓝色,10,5*5,"0,0U 1,0U 2,0U 3,0U 4,0U","0,4D 1,4D 2,4D 3,4D 4,4D",,,
废水处理机,Water Treatment Unit,基础生产,蓝色,50,3*3,,,"0,1L",,
装备原件机,Gearing Unit,合成制造,灰色,10,6*4,"0,0U 1,0U 2,0U 3,0U 4,0U 5,0U","0,3D 1,3D 2,3D 3,3D 4,3D 5,3D ",,,
灌装机,Filling Unit,合成制造,蓝色,20,6*4,"0,0U 1,0U 2,0U 3,0U 4,0U 5,0U","0,3D 1,3D 2,3D 3,3D 4,3D 5,3D ","0,1L",,
封装机,Packaging Unit,合成制造,蓝色,20,6*4,"0,0U 1,0U 2,0U 3,0U 4,0U 5,0U","0,3D 1,3D 2,3D 3,3D 4,3D 5,3D ",,,
研磨机,Grinding Unit,合成制造,紫色,50,6*4,"0,0U 1,0U 2,0U 3,0U 4,0U 5,0U","0,3D 1,3D 2,3D 3,3D 4,3D 5,3D ",,,
反应池,Reactor Crucible,合成制造,蓝色,50,5*5,"1,0U 3,0U","1,4D 3,4D","0,1L 0,3L","4,1R 4,3R",可同时进行多个配方生产，拥有5个物品格，物品液体均可存放，可连接任意出入口。液体出口需要手动指定，未指定则不输出液体
扩容反应池,Expanded Crucible,合成制造,蓝色,100,6*5,"1,0U 2,0U 3,0U 4,0U","1,4D 2,4D 3,4D 4,4D","0,1L 0,3L","5,1R 5,3R",可同时进行多个配方生产，拥有7个物品格，物品液体均可存放，可连接任意出入口。液体出口需要手动指定，未指定则不输出液体
天有洪炉,Forge of the Sky,合成制造,紫色,50,5*5,"0,0U 1,0U 2,0U 3,0U 4,0U 5,0U","0,3D 1,3D 2,3D 3,3D 4,3D 5,3D ","0,2L",,有放置数量限制，可让用户自定义
提纯机,Puritication Unit,合成制造,紫色,50,5*5,,,"0,1L 0,3L","4,1R 4,3R",
拆解机,Separating Unit,合成制造,紫色,20,6*4,"0,0U 1,0U 2,0U 3,0U 4,0U 5,0U","0,3D 1,3D 2,3D 3,3D 4,3D 5,3D ",,"5,1R",
供电桩,Electric Pylon,电力供应,灰色,,2*2,,,,,供电范围是物品为中心的12*12格
息壤供电桩,Xiranite Pylon,电力供应,灰色,,2*2,,,,,供电范围是物品为中心的12*12格
热能池,Thermal Bank,电力供应,绿色,,2*2,"0,0U 1,0U",,,,
