名称,英文名称,物品分类,仓库分类,稀有度,是否液体/可否排放,发电量,
砂叶粉末,Sandleaf Powder,工业产物,产物,绿色,,,
酮化灌木粉末,Aketine Powder,工业产物,产物,绿色,,,
细磨荞花粉末,Ground Buckflower Powder,工业产物,产物,蓝色,,,
细磨柑实粉末,Ground Citrome Powder,工业产物,产物,蓝色,,,
致密碳粉末,Dense Carbon Powder,工业产物,产物,蓝色,,,
致密源石粉末,Dense Originium Powder,工业产物,产物,蓝色,,,
致密晶体粉末,Dense Origocrust Powder,工业产物,产物,蓝色,,,
高晶粉末,Cryston Powder,工业产物,产物,蓝色,,,
致密蓝铁粉末,Dense Ferrium Powder,工业产物,产物,蓝色,,,
紫晶质瓶,Amethyst Bottle,工业产物,产物,绿色,,,瓶子
蓝铁瓶,Ferrium Bottle,工业产物,产物,绿色,,,瓶子
高晶质瓶,Cryston Bottle,工业产物,产物,蓝色,,,瓶子
钢质瓶,Steel Bottle,工业产物,产物,蓝色,,,瓶子
赤铜瓶,Cuprium Bottle,工业产物,产物,蓝色,,,瓶子
赫铜瓶,Hetonite Bottle,工业产物,产物,蓝色,,,瓶子
紫晶零件,Amethyst Part,工业产物,产物,绿色,,,
铁制零件,Ferrium Part,工业产物,产物,绿色,,,
高晶零件,Cryston Part,工业产物,产物,蓝色,,,
钢制零件,Steel Part,工业产物,产物,蓝色,,,
赤铜零件,Cuprium Part,工业产物,产物,蓝色,,,
赫铜零件,Hetonite Part,工业产物,产物,紫色,,,
紫晶装备原件,Amethyst Component,工业产物,产物,绿色,,,终端产物
蓝铁装备原件,Ferrium Component,工业产物,产物,绿色,,,终端产物
高晶装备原件,Cryston Component,工业产物,产物,蓝色,,,终端产物
息壞装备原件,Xiranite Component,工业产物,产物,紫色,,,终端产物
赤铜装备原件,Cuprium Component,工业产物,产物,紫色,,,终端产物
赫铜装备原件,Hetonite Component,工业产物,产物,紫色,,,终端产物
低容谷地电池,LC Valley Battery,工业产物,产物,蓝色,,220/40s,终端产物/发电
中容谷地电池,SC Valley Battery,工业产物,产物,蓝色,,420/40s,终端产物/发电
高容谷地电池,HC Valley Battery,工业产物,产物,紫色,,1100/40s,终端产物/发电
低容武陵电池,HC Valley Battery,工业产物,产物,紫色,,1600/40s,终端产物/发电
中容武陵电池,HC Valley Battery,工业产物,产物,紫色,,3200/40s,终端产物/发电
工业爆炸物,Industrial Explosive,可用道具,可用道具,蓝色,,,终端产物
荞花粉末,Buckflower Powder,可用道具,可用道具,绿色,,,
柑实粉末,Citrome Powder,可用道具,可用道具,绿色,,,
锦草粉末,Jincao Powder,可用道具,可用道具,绿色,,,
芽针粉末,Yazhen Powder,可用道具,可用道具,绿色,,,
荞愈胶囊,Buck Capsule [C],可用道具,可用道具,蓝色,,,终端产物
优质荞愈胶囊,Buck Capsule [B],可用道具,可用道具,蓝色,,,终端产物
柑实罐头,Canned Citrome [C],可用道具,可用道具,蓝色,,,终端产物
优质柑实罐头,Canned Citrome [B],可用道具,可用道具,蓝色,,,终端产物
锦草软饮,Jincao Drink,可用道具,可用道具,蓝色,,,终端产物
芽针针剂,Yazhen Syringe [C],可用道具,可用道具,蓝色,,,终端产物
精选荞愈胶囊,Buck Capsule [A],可用道具,可用道具,紫色,,,终端产物
精选柑实罐头,Canned Citrome [A],可用道具,可用道具,紫色,,,终端产物
优质锦草软饮,Jincao Tea,可用道具,可用道具,紫色,,,终端产物
优质芽针针剂,Yazhen Syringe [A],可用道具,可用道具,紫色,,,终端产物
